SimulationV06.py[0, [0, 16, 16, 0, 0, 0]]
[1, [0, 32, 32, 0, 0, 0]]
[2, [48, 48, 48, 0, 0, 0]]
[3, [48, 64, 64, 0, 0, 0]]
[4, [48, 80, 80, 0, 0, 0]]
[5, [96, 96, 96, 0, 0, 0]]
[6, [96, 112, 112, 0, 0, 0]]
[7, [96, 128, 128, 0, 0, 0]]
[8, [144, 144, 144, 0, 0, 0]]
[9, [144, 160, 160, 0, 0, 0]]
[10, [144, 176, 176, 0, 0, 0]]
[11, [192, 192, 192, 0, 0, 0]]
[12, [192, 208, 208, 0, 0, 0]]
[13, [192, 224, 224, 0, 0, 0]]
[14, [240, 240, 240, 0, 0, 0]]
[15, [240, 256, 256, 0, 0, 0]]
[16, [240, 272, 272, 0, 0, 0]]
[17, [288, 288, 288, 0, 0, 0]]
[18, [288, 304, 304, 0, 0, 0]]
[19, [288, 320, 320, 315, 0, 0]]
[20, [336, 336, 336, 171, 144, 0]]
[21, [236, 252, 252, 27, 183, 5]]
[22, [126, 158, 158, 27, 78, 0]]
[23, [104, 104, 104, 27, 0, 8]]
[24, [104, 120, 120, 27, 0, 8]]
[25, [104, 136, 136, 27, 0, 8]]
[26, [152, 152, 152, 27, 0, 8]]
[27, [152, 168, 168, 27, 0, 8]]
[28, [152, 184, 184, 27, 0, 8]]
[29, [200, 200, 200, 27, 0, 8]]
[30, [200, 216, 216, 27, 0, 8]]
[31, [200, 232, 232, 27, 0, 8]]
[32, [248, 248, 248, 27, 0, 8]]
[33, [248, 264, 264, 42, 0, 8]]
[34, [248, 280, 280, 42, 0, 8]]
[35, [296, 296, 296, 42, 0, 8]]
[36, [296, 312, 312, 42, 0, 8]]
[37, [296, 328, 328, 42, 0, 8]]
[38, [344, 344, 344, 42, 0, 8]]
[39, [344, 360, 360, 342, 0, 8]]
[40, [344, 376, 376, 198, 144, 8]]
[41, [282, 282, 282, 54, 183, 3]]
[42, [182, 198, 198, 54, 78, 8]]
[43, [102, 134, 134, 54, 0, 6]]
[44, [150, 150, 150, 54, 0, 6]]
[45, [150, 166, 166, 54, 0, 6]]
[46, [150, 182, 182, 54, 0, 6]]
[47, [198, 198, 198, 54, 0, 6]]
[48, [198, 214, 214, 54, 0, 6]]
[49, [198, 230, 230, 54, 0, 6]]
[50, [246, 246, 246, 54, 0, 6]]
[51, [246, 262, 262, 54, 0, 6]]
[52, [246, 278, 278, 54, 0, 6]]
[53, [294, 294, 294, 69, 0, 6]]
[54, [294, 310, 310, 69, 0, 6]]
[55, [294, 326, 326, 69, 0, 6]]
[56, [342, 342, 342, 69, 0, 6]]
[57, [342, 358, 358, 69, 0, 6]]
[58, [342, 374, 374, 69, 0, 6]]
[59, [390, 390, 390, 369, 0, 6]]
[60, [390, 406, 406, 225, 144, 6]]
[61, [280, 312, 312, 81, 183, 1]]
[62, [228, 228, 228, 81, 78, 6]]
[63, [148, 164, 164, 81, 0, 4]]
[64, [148, 180, 180, 81, 0, 4]]
[65, [196, 196, 196, 81, 0, 4]]
[66, [196, 212, 212, 81, 0, 4]]
[67, [196, 228, 228, 81, 0, 4]]
[68, [244, 244, 244, 81, 0, 4]]
[69, [244, 260, 260, 81, 0, 4]]
[70, [244, 276, 276, 81, 0, 4]]
[71, [292, 292, 292, 81, 0, 4]]
[72, [292, 308, 308, 81, 0, 4]]
[73, [292, 324, 324, 96, 0, 4]]
[74, [340, 340, 340, 96, 0, 4]]
[75, [340, 356, 356, 111, 0, 4]]
[76, [340, 372, 372, 111, 0, 4]]
[77, [388, 388, 388, 111, 0, 4]]
[78, [388, 404, 404, 111, 0, 4]]
[79, [388, 420, 420, 381, 0, 4]]
[80, [436, 436, 436, 252, 144, 4]]
[81, [336, 352, 352, 108, 183, 9]]
[82, [226, 258, 258, 108, 78, 4]]
[83, [194, 194, 194, 108, 0, 2]]
[84, [194, 210, 210, 108, 0, 2]]
[85, [194, 226, 226, 108, 0, 2]]
[86, [242, 242, 242, 123, 0, 2]]
[87, [242, 258, 258, 123, 0, 2]]
[88, [242, 274, 274, 123, 0, 2]]
[89, [290, 290, 290, 123, 0, 2]]
[90, [290, 306, 306, 123, 0, 2]]
[91, [290, 322, 322, 123, 0, 2]]
[92, [338, 338, 338, 123, 0, 2]]
[93, [338, 354, 354, 138, 0, 2]]
[94, [338, 370, 370, 138, 0, 2]]
[95, [386, 386, 386, 153, 0, 2]]
[96, [386, 402, 402, 9, 144, 2]]
[97, [286, 318, 318, 9, 39, 7]]
[98, [294, 294, 294, 9, 0, 6]]
[99, [294, 310, 310, 264, 0, 6]]
[100, [294, 326, 326, 135, 144, 6]]
[101, [232, 232, 232, 135, 39, 1]]
[102, [192, 208, 208, 135, 0, 0]]
[103, [192, 224, 224, 135, 0, 0]]
[104, [240, 240, 240, 135, 0, 0]]
[105, [240, 256, 256, 135, 0, 0]]
[106, [240, 272, 272, 150, 0, 0]]
[107, [288, 288, 288, 6, 144, 0]]
[108, [188, 204, 204, 6, 39, 5]]
[109, [148, 180, 180, 6, 0, 4]]
[110, [196, 196, 196, 6, 0, 4]]
[111, [196, 212, 212, 6, 0, 4]]
[112, [196, 228, 228, 6, 0, 4]]
[113, [244, 244, 244, 21, 0, 4]]
[114, [244, 260, 260, 21, 0, 4]]
[115, [244, 276, 276, 36, 0, 4]]
[116, [292, 292, 292, 36, 0, 4]]
[117, [292, 308, 308, 36, 0, 4]]
[118, [292, 324, 324, 36, 0, 4]]
[119, [340, 340, 340, 261, 0, 4]]
[120, [340, 356, 356, 132, 144, 4]]
[121, [240, 272, 272, 132, 39, 9]]
[122, [248, 248, 248, 147, 0, 8]]
[123, [248, 264, 264, 18, 144, 8]]
[124, [138, 170, 170, 18, 39, 3]]
[125, [166, 166, 166, 18, 0, 22]]
[126, [146, 162, 162, 33, 0, 2]]
[127, [146, 178, 178, 33, 0, 2]]
[128, [194, 194, 194, 33, 0, 2]]
[129, [194, 210, 210, 33, 0, 2]]
[130, [194, 226, 226, 33, 0, 2]]
[131, [242, 242, 242, 33, 0, 2]]
[132, [242, 258, 258, 33, 0, 2]]
[133, [242, 274, 274, 48, 0, 2]]
[134, [290, 290, 290, 48, 0, 2]]
[135, [290, 306, 306, 63, 0, 2]]
[136, [290, 322, 322, 78, 0, 2]]
[137, [338, 338, 338, 78, 0, 2]]
[138, [338, 354, 354, 78, 0, 2]]
[139, [338, 370, 370, 288, 0, 2]]
[140, [386, 386, 386, 159, 144, 2]]
[141, [336, 352, 352, 30, 183, 57]]
[142, [326, 358, 358, 45, 78, 152]]
[143, [374, 374, 374, 60, 0, 230]]
[144, [344, 360, 360, 60, 0, 200]]
[145, [324, 356, 356, 60, 0, 180]]
[146, [362, 362, 362, 75, 0, 170]]
[147, [352, 368, 368, 75, 0, 160]]
[148, [242, 274, 274, 75, 0, 50]]
[149, [260, 260, 260, 75, 0, 20]]
[150, [240, 256, 256, 75, 0, 0]]
[151, [240, 272, 272, 75, 0, 0]]
[152, [288, 288, 288, 75, 0, 0]]
[153, [288, 304, 304, 90, 0, 0]]
[154, [288, 320, 320, 90, 0, 0]]
[155, [336, 336, 336, 105, 0, 0]]
[156, [336, 352, 352, 120, 0, 0]]
[157, [336, 368, 368, 120, 0, 0]]
[158, [384, 384, 384, 120, 0, 0]]
[159, [384, 400, 400, 315, 0, 0]]
[160, [384, 416, 416, 186, 144, 0]]
[161, [332, 332, 332, 72, 183, 5]]
