SimulationV011.py[77504074.35, [11448, 11456, 11464, 11465, 11470, 11472, 11472, 11472, 11472], [12, 8, 8, 22, 2, 24, 135, 9999, 9999, 9999, 9999, 9999, 9999], [10681875.0, 2875726.0, 698667.35, 9185482.67, 54062323.33]]
[78095796.47, [11448, 11460, 11463, 11467, 11470, 11472, 11472, 11472, 11472], [12, 8, 8, 22, 9, 24, 142, 9999, 9999, 9999, 9999, 9999, 9999], [11235750.0, 4485719.0, 698959.09, 9185938.27, 52489430.11]]
[78279154.91, [11448, 11448, 11448, 11448, 11448, 11449, 11456, 11460, 11464], [12, 8, 8, 22, 2, 24, 135, 9999, 9999, 9999, 9999, 9999, 9999], [10681875.0, 2875726.0, 698583.42, 9174816.04, 54848154.45]]
[78653715.96, [11428, 11448, 11448, 11448, 11448, 11452, 11468, 11472, 11472], [12, 8, 8, 22, 5, 27, 138, 9999, 9999, 9999, 9999, 9999, 9999], [10919250.0, 3576109.0, 698458.95, 9176103.1, 54283794.92]]
[79720024.08, [11376, 11442, 11448, 11448, 11456, 11464, 11466, 11472, 11472], [12, 8, 8, 22, 2, 27, 138, 9999, 9999, 9999, 9999, 9999, 9999], [10919250.0, 2886112.0, 698228.76, 9172613.19, 56043820.13]]
[79747271.28, [11448, 11448, 11452, 11456, 11466, 11469, 11472, 11472, 11472], [12, 8, 8, 22, 9, 31, 142, 9999, 9999, 9999, 9999, 9999, 9999], [11235750.0, 4509953.0, 698587.96, 9182348.66, 54120631.66]]
[79824304.19, [11405, 11448, 11448, 11464, 11466, 11469, 11472, 11472, 11472], [12, 8, 8, 22, 2, 31, 142, 9999, 9999, 9999, 9999, 9999, 9999], [11235750.0, 2899960.0, 698562.9, 9178869.79, 55811161.5]]
[79973198.08, [11422, 11437, 11448, 11448, 11454, 11467, 11470, 11472, 11472], [12, 8, 8, 22, 2, 31, 135, 9999, 9999, 9999, 9999, 9999, 9999], [10681875.0, 2899960.0, 698559.63, 9176648.82, 56516154.62]]
[80184675.61, [11429, 11441, 11448, 11448, 11448, 11453, 11456, 11472, 11472], [12, 8, 8, 22, 2, 24, 135, 9999, 9999, 9999, 9999, 9999, 9999], [10681875.0, 2875726.0, 698233.39, 9174573.13, 56754268.09]]
[80649436.53, [11441, 11448, 11448, 11448, 11456, 11464, 11466, 11466, 11472], [12, 8, 8, 22, 2, 27, 135, 9999, 9999, 9999, 9999, 9999, 9999], [10681875.0, 2886112.0, 698533.08, 9178288.86, 57204627.59]]
[81080927.24, [11448, 11448, 11448, 11460, 11464, 11472, 11472, 11472, 11472], [12, 8, 8, 22, 2, 24, 130, 9999, 9999, 9999, 9999, 9999, 9999], [10286250.0, 2875726.0, 698628.18, 9182434.11, 58037888.95]]
[81095503.0, [11426, 11448, 11448, 11448, 11454, 11456, 11462, 11464, 11472], [12, 8, 8, 22, 2, 19, 135, 9999, 9999, 9999, 9999, 9999, 9999], [10681875.0, 2858416.0, 698519.96, 9175552.71, 57681139.34]]
[81248310.7, [11448, 11448, 11462, 11466, 11467, 11468, 11468, 11472, 11472], [12, 8, 8, 22, 2, 15, 144, 9999, 9999, 9999, 9999, 9999, 9999], [11394000.0, 2844568.0, 698878.38, 9183739.09, 57127125.23]]
[81360358.49, [11376, 11428, 11448, 11448, 11448, 11465, 11470, 11472, 11472], [12, 8, 8, 22, 1, 23, 135, 9999, 9999, 9999, 9999, 9999, 9999], [10681875.0, 2642265.0, 698100.57, 9171107.56, 58167010.37]]
[81750939.53, [11425, 11447, 11448, 11448, 11459, 11461, 11466, 11469, 11472], [12, 8, 8, 22, 9, 31, 135, 9999, 9999, 9999, 9999, 9999, 9999], [10681875.0, 4509953.0, 698704.75, 9177057.18, 56683349.6]]
[81881307.76, [11448, 11448, 11448, 11448, 11448, 11463, 11464, 11472, 11472], [12, 8, 8, 22, 2, 24, 142, 9999, 9999, 9999, 9999, 9999, 9999], [11235750.0, 2875726.0, 698581.24, 9178487.35, 57892763.17]]
[81977147.06, [11376, 11448, 11448, 11448, 11448, 11455, 11466, 11470, 11472], [12, 8, 8, 22, 1, 23, 134, 9999, 9999, 9999, 9999, 9999, 9999], [10602750.0, 2642265.0, 698356.27, 9171500.21, 58862275.58]]
[82080887.34, [11448, 11448, 11448, 11448, 11448, 11448, 11448, 11448, 11472], [12, 8, 8, 22, 2, 23, 135, 9999, 9999, 9999, 9999, 9999, 9999], [10681875.0, 2872264.0, 698119.9, 9173681.39, 58654947.04]]
[82167385.92, [11412, 11448, 11448, 11452, 11452, 11465, 11470, 11470, 11472], [12, 8, 8, 22, 2, 24, 135, 9999, 9999, 9999, 9999, 9999, 9999], [10681875.0, 2875726.0, 698389.18, 9176558.87, 58734836.87]]
[82523994.53, [11376, 11458, 11462, 11466, 11472, 11472, 11472, 11472, 11472], [12, 8, 8, 22, 2, 24, 126, 9999, 9999, 9999, 9999, 9999, 9999], [9969750.0, 2875726.0, 698967.45, 9179464.1, 59800086.99]]
[83020466.49, [11376, 11395, 11426, 11440, 11448, 11448, 11448, 11457, 11465], [12, 8, 8, 22, 2, 24, 144, 9999, 9999, 9999, 9999, 9999, 9999], [11394000.0, 2875726.0, 698011.41, 9160243.11, 58892485.96]]
[83092377.16, [11412, 11430, 11438, 11448, 11462, 11472, 11472, 11472, 11472], [12, 8, 8, 22, 9, 24, 135, 9999, 9999, 9999, 9999, 9999, 9999], [10681875.0, 4485719.0, 698574.2, 9175568.63, 58050640.33]]
