SimulationV01.py[0, [0, 18, 18, 0, 0, 0]]
[1, [0, 36, 36, 0, 0, 0]]
[2, [56, 54, 54, 0, 0, 0]]
[3, [56, 72, 72, 0, 0, 0]]
[4, [56, 90, 90, 0, 0, 0]]
[5, [112, 108, 108, 0, 0, 0]]
[6, [112, 126, 126, 0, 0, 0]]
[7, [112, 144, 144, 0, 0, 0]]
[8, [168, 162, 162, 0, 0, 0]]
[9, [168, 180, 180, 0, 0, 0]]
[10, [168, 198, 198, 0, 0, 0]]
[11, [224, 216, 216, 0, 0, 0]]
[12, [224, 234, 234, 0, 0, 0]]
[13, [224, 252, 252, 0, 0, 0]]
[14, [280, 270, 270, 0, 0, 0]]
[15, [280, 288, 288, 0, 0, 0]]
[16, [280, 306, 306, 0, 0, 0]]
[17, [336, 324, 324, 0, 0, 0]]
[18, [336, 342, 342, 0, 0, 0]]
[19, [336, 360, 360, 375, 0, 0]]
[20, [392, 378, 378, 246, 144, 0]]
[21, [318, 322, 322, 102, 213, 1]]
[22, [242, 264, 264, 102, 138, 0]]
[23, [224, 208, 208, 102, 63, 1]]
[24, [160, 162, 162, 102, 0, 0]]
[25, [160, 180, 180, 102, 0, 0]]
[26, [216, 198, 198, 102, 0, 0]]
[27, [216, 216, 216, 102, 0, 0]]
[28, [216, 234, 234, 102, 0, 0]]
[29, [272, 252, 252, 102, 0, 0]]
[30, [272, 270, 270, 102, 0, 0]]
[31, [272, 288, 288, 102, 0, 0]]
[32, [328, 306, 306, 102, 0, 0]]
[33, [328, 324, 324, 102, 0, 0]]
[34, [328, 342, 342, 102, 0, 0]]
[35, [384, 360, 360, 102, 0, 0]]
[36, [384, 378, 378, 102, 0, 0]]
[37, [384, 396, 396, 102, 0, 0]]
[38, [440, 414, 414, 102, 0, 0]]
[39, [440, 432, 432, 462, 0, 0]]
[40, [440, 450, 450, 333, 144, 0]]
[41, [422, 394, 394, 204, 213, 1]]
[42, [346, 336, 336, 60, 282, 0]]
[43, [272, 280, 280, 60, 207, 1]]
[44, [252, 222, 222, 60, 132, 0]]
[45, [244, 232, 232, 60, 57, 67]]
[46, [244, 250, 250, 60, 0, 124]]
[47, [300, 268, 268, 60, 0, 124]]
[48, [226, 212, 212, 60, 0, 50]]
[49, [176, 180, 180, 60, 0, 0]]
[50, [232, 198, 198, 60, 0, 0]]
[51, [232, 216, 216, 60, 0, 0]]
[52, [232, 234, 234, 60, 0, 0]]
[53, [288, 252, 252, 60, 0, 0]]
[54, [288, 270, 270, 60, 0, 0]]
[55, [288, 288, 288, 60, 0, 0]]
[56, [344, 306, 306, 60, 0, 0]]
[57, [344, 324, 324, 60, 0, 0]]
[58, [344, 342, 342, 60, 0, 0]]
[59, [400, 360, 360, 420, 0, 0]]
[60, [400, 378, 378, 291, 144, 0]]
[61, [326, 322, 322, 162, 213, 1]]
[62, [306, 264, 264, 18, 282, 0]]
[63, [232, 208, 208, 18, 207, 1]]
[64, [156, 150, 150, 18, 132, 0]]
[65, [204, 160, 160, 18, 57, 67]]
[66, [204, 178, 178, 18, 0, 124]]
