SimulationV010.py[0, [0, 16, 16, 0, 0, 0]]
[1, [0, 32, 32, 0, 0, 0]]
[2, [48, 48, 48, 0, 0, 0]]
[3, [48, 64, 64, 0, 0, 0]]
[4, [48, 80, 80, 0, 0, 0]]
[5, [96, 96, 96, 0, 0, 0]]
[6, [96, 112, 112, 0, 0, 0]]
[7, [96, 128, 128, 0, 0, 0]]
[8, [144, 144, 144, 0, 0, 0]]
[9, [144, 160, 160, 0, 0, 0]]
[10, [144, 176, 176, 0, 0, 0]]
[11, [192, 192, 192, 0, 0, 0]]
[12, [192, 208, 208, 0, 0, 0]]
[13, [192, 224, 224, 0, 0, 0]]
[14, [240, 240, 240, 0, 0, 0]]
[15, [240, 256, 256, 0, 0, 0]]
[16, [240, 272, 272, 0, 0, 0]]
[17, [288, 288, 288, 0, 0, 0]]
[18, [288, 304, 304, 0, 0, 0]]
[19, [288, 320, 320, 300, 0, 0]]
[20, [336, 336, 336, 27, 288, 0]]
[21, [266, 282, 282, 42, 210, 8]]
[22, [186, 218, 218, 42, 132, 6]]
[23, [154, 154, 154, 42, 54, 4]]
[24, [104, 120, 120, 42, 0, 8]]
[25, [104, 136, 136, 42, 0, 8]]
[26, [152, 152, 152, 42, 0, 8]]
[27, [152, 168, 168, 42, 0, 8]]
[28, [152, 184, 184, 42, 0, 8]]
[29, [200, 200, 200, 42, 0, 8]]
[30, [200, 216, 216, 42, 0, 8]]
[31, [200, 232, 232, 42, 0, 8]]
[32, [248, 248, 248, 42, 0, 8]]
[33, [248, 264, 264, 42, 0, 8]]
[34, [248, 280, 280, 42, 0, 8]]
[35, [296, 296, 296, 42, 0, 8]]
[36, [296, 312, 312, 42, 0, 8]]
[37, [296, 328, 328, 42, 0, 8]]
[38, [344, 344, 344, 42, 0, 8]]
[39, [344, 360, 360, 342, 0, 8]]
[40, [344, 376, 376, 69, 288, 8]]
[41, [312, 312, 312, 84, 210, 6]]
[42, [232, 248, 248, 84, 132, 4]]
[43, [152, 184, 184, 84, 54, 2]]
[44, [150, 150, 150, 84, 0, 6]]
[45, [150, 166, 166, 84, 0, 6]]
[46, [150, 182, 182, 84, 0, 6]]
[47, [198, 198, 198, 84, 0, 6]]
[48, [198, 214, 214, 84, 0, 6]]
[49, [198, 230, 230, 84, 0, 6]]
[50, [246, 246, 246, 84, 0, 6]]
[51, [246, 262, 262, 84, 0, 6]]
[52, [246, 278, 278, 84, 0, 6]]
[53, [294, 294, 294, 84, 0, 6]]
[54, [294, 310, 310, 84, 0, 6]]
[55, [294, 326, 326, 84, 0, 6]]
[56, [342, 342, 342, 84, 0, 6]]
[57, [342, 358, 358, 84, 0, 6]]
[58, [342, 374, 374, 84, 0, 6]]
[59, [390, 390, 390, 384, 0, 6]]
[60, [390, 406, 406, 111, 288, 6]]
[61, [310, 342, 342, 126, 210, 4]]
[62, [278, 278, 278, 126, 132, 2]]
[63, [198, 214, 214, 126, 54, 0]]
[64, [148, 180, 180, 126, 0, 4]]
[65, [196, 196, 196, 126, 0, 4]]
[66, [196, 212, 212, 126, 0, 4]]
[67, [196, 228, 228, 126, 0, 4]]
[68, [244, 244, 244, 126, 0, 4]]
[69, [244, 260, 260, 126, 0, 4]]
[70, [244, 276, 276, 126, 0, 4]]
[71, [292, 292, 292, 126, 0, 4]]
[72, [292, 308, 308, 126, 0, 4]]
[73, [292, 324, 324, 126, 0, 4]]
[74, [340, 340, 340, 126, 0, 4]]
[75, [340, 356, 356, 126, 0, 4]]
[76, [340, 372, 372, 126, 0, 4]]
[77, [388, 388, 388, 126, 0, 4]]
[78, [388, 404, 404, 126, 0, 4]]
[79, [388, 420, 420, 396, 0, 4]]
[80, [436, 436, 436, 153, 288, 4]]
[81, [356, 372, 372, 24, 354, 2]]
[82, [276, 308, 308, 24, 276, 0]]
[83, [254, 254, 254, 24, 198, 8]]
[84, [174, 190, 190, 24, 120, 6]]
[85, [94, 126, 126, 24, 42, 4]]
[86, [102, 102, 102, 24, 0, 6]]
[87, [102, 118, 118, 24, 0, 6]]
[88, [102, 134, 134, 24, 0, 6]]
[89, [150, 150, 150, 24, 0, 6]]
[90, [150, 166, 166, 24, 0, 6]]
[91, [150, 182, 182, 24, 0, 6]]
[92, [198, 198, 198, 24, 0, 6]]
[93, [198, 214, 214, 24, 0, 6]]
[94, [198, 230, 230, 24, 0, 6]]
[95, [246, 246, 246, 24, 0, 6]]
[96, [246, 262, 262, 24, 0, 6]]
[97, [246, 278, 278, 24, 0, 6]]
[98, [294, 294, 294, 24, 0, 6]]
[99, [294, 310, 310, 264, 0, 6]]
[100, [294, 326, 326, 165, 144, 6]]
[101, [262, 262, 262, 51, 210, 4]]
[102, [182, 198, 198, 51, 132, 2]]
[103, [102, 134, 134, 51, 54, 0]]
[104, [100, 100, 100, 51, 0, 4]]
[105, [100, 116, 116, 51, 0, 4]]
[106, [100, 132, 132, 51, 0, 4]]
[107, [148, 148, 148, 51, 0, 4]]
[108, [148, 164, 164, 66, 0, 4]]
[109, [148, 180, 180, 66, 0, 4]]
[110, [196, 196, 196, 66, 0, 4]]
[111, [196, 212, 212, 66, 0, 4]]
[112, [196, 228, 228, 66, 0, 4]]
[113, [244, 244, 244, 66, 0, 4]]
[114, [244, 260, 260, 66, 0, 4]]
[115, [244, 276, 276, 66, 0, 4]]
[116, [292, 292, 292, 66, 0, 4]]
[117, [292, 308, 308, 66, 0, 4]]
[118, [292, 324, 324, 66, 0, 4]]
[119, [340, 340, 340, 306, 0, 4]]
[120, [340, 356, 356, 63, 288, 4]]
[121, [260, 292, 292, 93, 210, 2]]
[122, [228, 228, 228, 93, 132, 0]]
[123, [158, 174, 174, 93, 54, 8]]
[124, [108, 140, 140, 93, 0, 12]]
[125, [156, 156, 156, 93, 0, 12]]
[126, [156, 172, 172, 93, 0, 12]]
[127, [156, 188, 188, 93, 0, 12]]
[128, [194, 194, 194, 108, 0, 2]]
[129, [194, 210, 210, 108, 0, 2]]
[130, [194, 226, 226, 108, 0, 2]]
[131, [242, 242, 242, 108, 0, 2]]
[132, [242, 258, 258, 108, 0, 2]]
[133, [242, 274, 274, 108, 0, 2]]
[134, [290, 290, 290, 108, 0, 2]]
[135, [290, 306, 306, 108, 0, 2]]
[136, [290, 322, 322, 108, 0, 2]]
[137, [338, 338, 338, 108, 0, 2]]
[138, [338, 354, 354, 108, 0, 2]]
[139, [338, 370, 370, 348, 0, 2]]
[140, [386, 386, 386, 105, 288, 2]]
[141, [326, 342, 342, 135, 210, 20]]
[142, [306, 338, 338, 135, 132, 78]]
[143, [324, 324, 324, 135, 54, 126]]
[144, [314, 330, 330, 135, 0, 170]]
[145, [264, 296, 294, 135, 0, 120]]
[146, [272, 272, 270, 135, 0, 80]]
[147, [242, 258, 256, 135, 0, 50]]
[148, [202, 234, 232, 150, 0, 10]]
[149, [240, 240, 238, 6, 144, 0]]
[150, [170, 186, 184, 6, 66, 8]]
[151, [100, 132, 130, 6, 0, 4]]
[152, [148, 148, 146, 6, 0, 4]]
[153, [148, 164, 162, 6, 0, 4]]
[154, [148, 180, 178, 6, 0, 4]]
[155, [196, 196, 194, 6, 0, 4]]
[156, [196, 212, 210, 6, 0, 4]]
[157, [196, 228, 226, 6, 0, 4]]
[158, [244, 244, 242, 6, 0, 4]]
[159, [244, 260, 258, 246, 0, 4]]
[160, [244, 276, 274, 147, 144, 4]]
[161, [212, 212, 210, 33, 210, 2]]
