SimulationV05.py[0, [0, 16, 16, 0, 0, 0]]
[1, [0, 32, 32, 0, 0, 0]]
[2, [48, 48, 48, 0, 0, 0]]
[3, [48, 64, 64, 0, 0, 0]]
[4, [48, 80, 80, 0, 0, 0]]
[5, [96, 96, 96, 0, 0, 0]]
[6, [96, 112, 112, 0, 0, 0]]
[7, [96, 128, 128, 0, 0, 0]]
[8, [144, 144, 144, 0, 0, 0]]
[9, [144, 160, 160, 0, 0, 0]]
[10, [144, 176, 176, 0, 0, 0]]
[11, [192, 192, 192, 0, 0, 0]]
[12, [192, 208, 208, 0, 0, 0]]
[13, [192, 224, 224, 0, 0, 0]]
[14, [240, 240, 240, 0, 0, 0]]
[15, [240, 256, 256, 0, 0, 0]]
[16, [240, 272, 272, 0, 0, 0]]
[17, [288, 288, 288, 0, 0, 0]]
[18, [288, 304, 304, 0, 0, 0]]
[19, [288, 320, 320, 315, 0, 0]]
[20, [336, 336, 336, 171, 144, 0]]
[21, [264, 280, 280, 27, 216, 0]]
[22, [192, 224, 224, 27, 144, 0]]
[23, [168, 168, 168, 27, 72, 0]]
[24, [104, 120, 120, 27, 0, 8]]
[25, [104, 136, 136, 27, 0, 8]]
[26, [152, 152, 152, 27, 0, 8]]
[27, [152, 168, 168, 27, 0, 8]]
[28, [144, 176, 176, 27, 0, 0]]
[29, [192, 192, 192, 27, 0, 0]]
[30, [192, 208, 208, 27, 0, 0]]
[31, [192, 224, 224, 27, 0, 0]]
[32, [240, 240, 240, 27, 0, 0]]
[33, [240, 256, 256, 27, 0, 0]]
[34, [240, 272, 272, 27, 0, 0]]
[35, [288, 288, 288, 42, 0, 0]]
[36, [288, 304, 304, 42, 0, 0]]
[37, [288, 320, 320, 42, 0, 0]]
[38, [336, 336, 336, 42, 0, 0]]
[39, [336, 352, 352, 357, 0, 0]]
[40, [336, 368, 368, 213, 144, 0]]
[41, [312, 312, 312, 69, 216, 0]]
[42, [240, 256, 256, 69, 144, 0]]
[43, [168, 200, 200, 69, 72, 0]]
[44, [152, 152, 152, 69, 0, 8]]
[45, [152, 168, 168, 69, 0, 8]]
[46, [152, 184, 184, 69, 0, 8]]
[47, [200, 200, 200, 69, 0, 8]]
[48, [192, 208, 208, 69, 0, 0]]
[49, [192, 224, 224, 69, 0, 0]]
[50, [240, 240, 240, 69, 0, 0]]
[51, [240, 256, 256, 69, 0, 0]]
[52, [240, 272, 272, 69, 0, 0]]
[53, [288, 288, 288, 69, 0, 0]]
[54, [288, 304, 304, 69, 0, 0]]
[55, [288, 320, 320, 84, 0, 0]]
[56, [336, 336, 336, 84, 0, 0]]
[57, [336, 352, 352, 84, 0, 0]]
[58, [336, 368, 368, 84, 0, 0]]
[59, [384, 384, 384, 399, 0, 0]]
[60, [384, 400, 400, 255, 144, 0]]
[61, [312, 344, 344, 111, 216, 0]]
[62, [288, 288, 288, 111, 144, 0]]
[63, [216, 232, 232, 111, 72, 0]]
[64, [152, 184, 184, 111, 0, 8]]
[65, [200, 200, 200, 111, 0, 8]]
[66, [200, 216, 216, 111, 0, 8]]
[67, [200, 232, 232, 111, 0, 8]]
[68, [240, 240, 240, 111, 0, 0]]
[69, [240, 256, 256, 111, 0, 0]]
[70, [240, 272, 272, 111, 0, 0]]
[71, [288, 288, 288, 111, 0, 0]]
[72, [288, 304, 304, 111, 0, 0]]
[73, [288, 320, 320, 111, 0, 0]]
[74, [336, 336, 336, 111, 0, 0]]
[75, [336, 352, 352, 126, 0, 0]]
[76, [336, 368, 368, 126, 0, 0]]
[77, [384, 384, 384, 126, 0, 0]]
[78, [384, 400, 400, 126, 0, 0]]
[79, [384, 416, 416, 441, 0, 0]]
[80, [432, 432, 432, 297, 144, 0]]
[81, [360, 376, 376, 153, 216, 0]]
[82, [288, 320, 320, 9, 288, 0]]
[83, [264, 264, 264, 9, 216, 0]]
[84, [200, 216, 216, 9, 144, 8]]
[85, [200, 232, 232, 9, 72, 80]]
[86, [248, 248, 248, 9, 0, 152]]
[87, [248, 264, 264, 9, 0, 152]]
[88, [176, 208, 208, 9, 0, 80]]
[89, [152, 152, 152, 9, 0, 8]]
[90, [144, 160, 160, 9, 0, 0]]
[91, [144, 176, 176, 9, 0, 0]]
[92, [192, 192, 192, 9, 0, 0]]
[93, [192, 208, 208, 9, 0, 0]]
[94, [192, 224, 224, 9, 0, 0]]
[95, [240, 240, 240, 24, 0, 0]]
[96, [240, 256, 256, 24, 0, 0]]
[97, [240, 272, 272, 24, 0, 0]]
[98, [288, 288, 288, 24, 0, 0]]
[99, [288, 304, 304, 339, 0, 0]]
[100, [288, 320, 320, 195, 144, 0]]
[101, [264, 264, 264, 51, 216, 0]]
[102, [192, 208, 208, 51, 144, 0]]
[103, [120, 152, 152, 51, 72, 0]]
[104, [110, 110, 110, 51, 0, 14]]
[105, [110, 126, 126, 51, 0, 14]]
[106, [110, 142, 142, 51, 0, 14]]
[107, [158, 158, 158, 51, 0, 14]]
[108, [144, 160, 160, 51, 0, 0]]
[109, [144, 176, 176, 51, 0, 0]]
[110, [192, 192, 192, 51, 0, 0]]
[111, [192, 208, 208, 51, 0, 0]]
[112, [192, 224, 224, 51, 0, 0]]
[113, [240, 240, 240, 51, 0, 0]]
[114, [240, 256, 256, 51, 0, 0]]
[115, [240, 272, 272, 51, 0, 0]]
[116, [288, 288, 288, 51, 0, 0]]
[117, [288, 304, 304, 51, 0, 0]]
[118, [288, 320, 320, 51, 0, 0]]
[119, [336, 336, 336, 366, 0, 0]]
[120, [336, 352, 352, 222, 144, 0]]
[121, [264, 296, 296, 78, 216, 0]]
[122, [270, 270, 270, 78, 144, 30]]
[123, [270, 286, 286, 78, 72, 102]]
[124, [270, 302, 302, 78, 0, 174]]
[125, [318, 318, 318, 78, 0, 174]]
[126, [318, 334, 334, 78, 0, 174]]
[127, [316, 348, 348, 78, 0, 172]]
[128, [342, 342, 342, 78, 0, 150]]
[129, [326, 342, 342, 78, 0, 134]]
[130, [326, 358, 358, 78, 0, 134]]
[131, [372, 372, 372, 78, 0, 132]]
[132, [372, 388, 388, 78, 0, 132]]
[133, [372, 404, 404, 78, 0, 132]]
[134, [418, 418, 418, 78, 0, 130]]
[135, [408, 424, 424, 78, 0, 120]]
[136, [408, 440, 440, 78, 0, 120]]
[137, [450, 450, 450, 78, 0, 114]]
[138, [440, 456, 456, 78, 0, 104]]
[139, [428, 460, 460, 393, 0, 92]]
[140, [454, 454, 454, 249, 144, 70]]
[141, [450, 466, 466, 120, 216, 138]]
[142, [434, 466, 466, 120, 144, 194]]
[143, [466, 466, 466, 120, 72, 250]]
[144, [440, 456, 456, 120, 0, 296]]
[145, [422, 454, 454, 120, 0, 278]]
[146, [454, 454, 454, 120, 0, 262]]
[147, [422, 438, 438, 120, 0, 230]]
[148, [404, 436, 436, 120, 0, 212]]
[149, [428, 428, 428, 120, 0, 188]]
[150, [400, 416, 416, 120, 0, 160]]
[151, [370, 402, 402, 120, 0, 130]]
[152, [400, 400, 400, 120, 0, 112]]
[153, [384, 400, 400, 120, 0, 96]]
[154, [352, 384, 384, 120, 0, 64]]
[155, [382, 382, 382, 120, 0, 46]]
[156, [358, 374, 374, 120, 0, 22]]
[157, [336, 368, 368, 120, 0, 0]]
[158, [384, 384, 384, 120, 0, 0]]
[159, [384, 400, 400, 375, 0, 0]]
[160, [384, 416, 416, 246, 144, 0]]
[161, [360, 360, 360, 117, 216, 0]]
