SimulationV012.py[2593328.14, [11205, 11215, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230], [12, 8, 8, 22, 1, 10, 72, 186, 190, 187, 167, 174, 181]]
[2593692.69, [11210, 11210, 11215, 11225, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11240, 11245], [12, 8, 8, 22, 1, 10, 72, 183, 187, 184, 167, 171, 178]]
[2594008.99, [11190, 11210, 11210, 11220, 11220, 11225, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11235, 11235, 11240], [12, 8, 8, 22, 1, 10, 72, 186, 190, 187, 166, 174, 181]]
[2595077.7, [11200, 11205, 11225, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11240, 11240, 11240], [12, 8, 8, 22, 1, 10, 72, 185, 190, 186, 166, 174, 181]]
[2595530.62, [11190, 11220, 11220, 11220, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230], [12, 8, 8, 22, 1, 10, 72, 183, 190, 184, 167, 171, 181]]
[2595545.57, [11200, 11215, 11215, 11220, 11225, 11225, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11240], [12, 8, 8, 22, 1, 10, 72, 186, 190, 186, 167, 174, 181]]
[2596055.96, [11205, 11210, 11210, 11220, 11220, 11225, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230], [12, 8, 8, 22, 1, 10, 72, 176, 181, 186, 166, 165, 181]]
[2596089.65, [11210, 11215, 11220, 11220, 11225, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11245], [12, 8, 8, 22, 1, 10, 72, 192, 190, 186, 166, 181, 181]]
[2596123.75, [11205, 11210, 11215, 11220, 11220, 11225, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230], [12, 8, 8, 22, 1, 10, 72, 190, 185, 191, 166, 174, 186]]
[2596194.08, [11215, 11220, 11220, 11225, 11225, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11245, 11245, 11250], [12, 8, 8, 22, 1, 10, 72, 192, 190, 186, 166, 174, 181]]
[2596264.62, [11180, 11210, 11220, 11225, 11225, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11235], [12, 8, 8, 22, 1, 10, 72, 190, 190, 191, 166, 174, 186]]
[2596492.1, [11175, 11210, 11220, 11220, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230], [12, 8, 8, 22, 1, 10, 72, 186, 190, 186, 167, 174, 182]]
[2596626.05, [11220, 11220, 11225, 11225, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11235, 11240, 11240, 11240], [12, 8, 8, 22, 1, 10, 72, 185, 190, 186, 166, 169, 181]]
[2596665.05, [11190, 11210, 11220, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11235, 11245, 11245], [12, 8, 8, 22, 1, 10, 72, 185, 191, 186, 167, 174, 182]]
[2596681.67, [11205, 11210, 11220, 11225, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230], [12, 8, 8, 22, 1, 10, 72, 186, 191, 186, 167, 174, 182]]
[2596786.99, [11210, 11215, 11225, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11240, 11245], [12, 8, 8, 22, 1, 10, 72, 186, 191, 187, 167, 174, 181]]
[2596799.37, [11210, 11220, 11220, 11225, 11225, 11225, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11230, 11235], [12, 8, 8, 22, 1, 10, 72, 185, 181, 186, 166, 165, 172]]
