SimulationV04.py[0, [0, 16, 16, 0, 0, 0]]
[1, [0, 32, 32, 0, 0, 0]]
[2, [48, 48, 48, 0, 0, 0]]
[3, [48, 64, 64, 0, 0, 0]]
[4, [48, 80, 80, 0, 0, 0]]
[5, [96, 96, 96, 0, 0, 0]]
[6, [96, 112, 112, 0, 0, 0]]
[7, [96, 128, 128, 0, 0, 0]]
[8, [144, 144, 144, 0, 0, 0]]
[9, [144, 160, 160, 0, 0, 0]]
[10, [144, 176, 176, 0, 0, 0]]
[11, [192, 192, 192, 0, 0, 0]]
[12, [192, 208, 208, 0, 0, 0]]
[13, [192, 224, 224, 0, 0, 0]]
[14, [240, 240, 240, 0, 0, 0]]
[15, [240, 256, 256, 0, 0, 0]]
[16, [240, 272, 272, 0, 0, 0]]
[17, [288, 288, 288, 0, 0, 0]]
[18, [288, 304, 304, 0, 0, 0]]
[19, [288, 320, 320, 315, 0, 0]]
[20, [336, 336, 336, 27, 288, 0]]
[21, [266, 282, 282, 27, 210, 8]]
[22, [186, 218, 218, 27, 132, 6]]
[23, [154, 154, 154, 27, 54, 4]]
[24, [104, 120, 120, 27, 0, 8]]
[25, [104, 136, 136, 27, 0, 8]]
[26, [152, 152, 152, 27, 0, 8]]
[27, [152, 168, 168, 27, 0, 8]]
[28, [152, 184, 184, 27, 0, 8]]
[29, [200, 200, 200, 27, 0, 8]]
[30, [200, 216, 216, 42, 0, 8]]
[31, [200, 232, 232, 42, 0, 8]]
[32, [248, 248, 248, 42, 0, 8]]
[33, [248, 264, 264, 42, 0, 8]]
[34, [248, 280, 280, 42, 0, 8]]
[35, [296, 296, 296, 42, 0, 8]]
[36, [296, 312, 312, 42, 0, 8]]
[37, [296, 328, 328, 42, 0, 8]]
[38, [344, 344, 344, 42, 0, 8]]
[39, [344, 360, 360, 357, 0, 8]]
[40, [344, 376, 376, 69, 288, 8]]
[41, [312, 312, 312, 69, 210, 6]]
[42, [232, 248, 248, 69, 132, 4]]
[43, [152, 184, 184, 69, 54, 2]]
[44, [150, 150, 150, 69, 0, 6]]
[45, [150, 166, 166, 69, 0, 6]]
[46, [150, 182, 182, 69, 0, 6]]
[47, [198, 198, 198, 69, 0, 6]]
[48, [198, 214, 214, 69, 0, 6]]
[49, [198, 230, 230, 69, 0, 6]]
[50, [246, 246, 246, 84, 0, 6]]
[51, [246, 262, 262, 84, 0, 6]]
[52, [246, 278, 278, 84, 0, 6]]
[53, [294, 294, 294, 84, 0, 6]]
[54, [294, 310, 310, 84, 0, 6]]
[55, [294, 326, 326, 84, 0, 6]]
[56, [342, 342, 342, 84, 0, 6]]
[57, [342, 358, 358, 84, 0, 6]]
[58, [342, 374, 374, 84, 0, 6]]
[59, [390, 390, 390, 399, 0, 6]]
[60, [390, 406, 406, 111, 288, 6]]
[61, [310, 342, 342, 111, 210, 4]]
[62, [278, 278, 278, 111, 132, 2]]
[63, [198, 214, 214, 111, 54, 0]]
[64, [148, 180, 180, 111, 0, 4]]
[65, [196, 196, 196, 111, 0, 4]]
[66, [196, 212, 212, 111, 0, 4]]
[67, [196, 228, 228, 111, 0, 4]]
[68, [244, 244, 244, 111, 0, 4]]
[69, [244, 260, 260, 111, 0, 4]]
[70, [244, 276, 276, 126, 0, 4]]
[71, [292, 292, 292, 126, 0, 4]]
[72, [292, 308, 308, 126, 0, 4]]
[73, [292, 324, 324, 126, 0, 4]]
[74, [340, 340, 340, 126, 0, 4]]
[75, [340, 356, 356, 126, 0, 4]]
[76, [340, 372, 372, 126, 0, 4]]
[77, [388, 388, 388, 126, 0, 4]]
[78, [388, 404, 404, 126, 0, 4]]
[79, [388, 420, 420, 426, 0, 4]]
[80, [436, 436, 436, 138, 288, 4]]
[81, [356, 372, 372, 138, 210, 2]]
[82, [276, 308, 308, 138, 132, 0]]
[83, [254, 254, 254, 138, 54, 8]]
[84, [194, 210, 210, 138, 0, 2]]
[85, [194, 226, 226, 138, 0, 2]]
[86, [242, 242, 242, 138, 0, 2]]
[87, [242, 258, 258, 138, 0, 2]]
[88, [242, 274, 274, 138, 0, 2]]
[89, [290, 290, 290, 153, 0, 2]]
[90, [290, 306, 306, 24, 144, 2]]
[91, [210, 242, 242, 24, 66, 0]]
[92, [198, 198, 198, 24, 0, 6]]
[93, [198, 214, 214, 24, 0, 6]]
[94, [198, 230, 230, 24, 0, 6]]
[95, [246, 246, 246, 24, 0, 6]]
[96, [246, 262, 262, 24, 0, 6]]
[97, [246, 278, 278, 24, 0, 6]]
[98, [294, 294, 294, 24, 0, 6]]
[99, [294, 310, 310, 309, 0, 6]]
[100, [294, 326, 326, 36, 288, 6]]
[101, [262, 262, 262, 36, 210, 4]]
[102, [182, 198, 198, 36, 132, 2]]
[103, [102, 134, 134, 36, 54, 0]]
[104, [100, 100, 100, 36, 0, 4]]
[105, [100, 116, 116, 36, 0, 4]]
[106, [100, 132, 132, 36, 0, 4]]
[107, [148, 148, 148, 36, 0, 4]]
[108, [148, 164, 164, 36, 0, 4]]
[109, [148, 180, 180, 51, 0, 4]]
[110, [196, 196, 196, 66, 0, 4]]
[111, [196, 212, 212, 66, 0, 4]]
[112, [196, 228, 228, 66, 0, 4]]
[113, [244, 244, 244, 66, 0, 4]]
[114, [244, 260, 260, 66, 0, 4]]
[115, [244, 276, 276, 66, 0, 4]]
[116, [292, 292, 292, 66, 0, 4]]
[117, [292, 308, 308, 66, 0, 4]]
[118, [292, 324, 324, 66, 0, 4]]
[119, [340, 340, 340, 351, 0, 4]]
[120, [340, 356, 356, 78, 288, 4]]
[121, [260, 292, 292, 78, 210, 2]]
[122, [228, 228, 228, 78, 132, 0]]
[123, [158, 174, 174, 78, 54, 8]]
[124, [138, 170, 170, 78, 0, 42]]
[125, [186, 186, 186, 78, 0, 42]]
[126, [186, 202, 202, 78, 0, 42]]
[127, [186, 218, 218, 78, 0, 42]]
[128, [234, 234, 234, 78, 0, 42]]
[129, [234, 250, 250, 93, 0, 42]]
[130, [234, 266, 266, 108, 0, 42]]
[131, [262, 262, 262, 108, 0, 22]]
[132, [262, 278, 278, 108, 0, 22]]
[133, [262, 294, 294, 108, 0, 22]]
[134, [300, 300, 300, 108, 0, 12]]
[135, [300, 316, 316, 108, 0, 12]]
[136, [300, 332, 332, 108, 0, 12]]
[137, [338, 338, 338, 108, 0, 2]]
[138, [338, 354, 354, 108, 0, 2]]
[139, [338, 370, 370, 378, 0, 2]]
[140, [386, 386, 386, 120, 288, 2]]
[141, [336, 352, 352, 120, 210, 30]]
[142, [306, 338, 338, 120, 132, 78]]
[143, [344, 344, 344, 120, 54, 146]]
[144, [334, 350, 350, 120, 0, 190]]
[145, [324, 356, 356, 120, 0, 180]]
[146, [342, 342, 342, 120, 0, 150]]
[147, [322, 338, 338, 120, 0, 130]]
[148, [292, 324, 324, 120, 0, 100]]
[149, [240, 240, 240, 135, 0, 0]]
[150, [240, 256, 256, 150, 0, 0]]
[151, [240, 272, 272, 6, 144, 0]]
[152, [218, 218, 218, 6, 66, 8]]
[153, [148, 164, 164, 6, 0, 4]]
[154, [148, 180, 180, 6, 0, 4]]
[155, [196, 196, 196, 6, 0, 4]]
[156, [196, 212, 212, 6, 0, 4]]
[157, [196, 228, 228, 6, 0, 4]]
[158, [244, 244, 244, 6, 0, 4]]
[159, [244, 260, 260, 261, 0, 4]]
[160, [244, 276, 276, 147, 144, 4]]
[161, [212, 212, 212, 18, 210, 2]]
