SimulationV011.py[0, [0, 16, 16, 0, 0, 0]]
[1, [0, 32, 32, 0, 0, 0]]
[2, [48, 48, 48, 0, 0, 0]]
[3, [48, 64, 64, 0, 0, 0]]
[4, [48, 80, 80, 0, 0, 0]]
[5, [96, 96, 96, 0, 0, 0]]
[6, [96, 112, 112, 0, 0, 0]]
[7, [96, 128, 128, 0, 0, 0]]
[8, [144, 144, 144, 0, 0, 0]]
[9, [144, 160, 160, 0, 0, 0]]
[10, [144, 176, 176, 0, 0, 0]]
[11, [192, 192, 192, 0, 0, 0]]
[12, [192, 198, 198, 0, 0, 0]]
[14, [196, 198, 198, 0, 0, 0]]
[19, [196, 198, 198, 195, 0, 0]]
[20, [196, 198, 198, 186, 144, 0]]
[21, [166, 168, 168, 42, 114, 0]]
[22, [168, 154, 154, 42, 84, 0]]
[23, [150, 140, 140, 42, 198, 0]]
[24, [124, 126, 126, 42, 168, 0]]
[25, [126, 112, 112, 42, 138, 0]]
[26, [108, 98, 98, 42, 108, 0]]
[27, [82, 84, 84, 42, 78, 0]]
[28, [84, 70, 70, 42, 48, 0]]
[29, [66, 56, 56, 42, 18, 0]]
[30, [52, 54, 54, 42, 0, 0]]
[31, [84, 70, 70, 42, 0, 0]]
[32, [96, 86, 86, 42, 0, 0]]
[33, [100, 102, 102, 42, 0, 0]]
[34, [132, 118, 118, 42, 0, 0]]
[35, [144, 134, 134, 42, 0, 0]]
[36, [148, 150, 150, 42, 0, 0]]
[37, [180, 166, 166, 42, 0, 0]]
[38, [192, 182, 182, 42, 0, 0]]
[39, [196, 198, 198, 192, 0, 0]]
[40, [196, 198, 198, 93, 144, 0]]
[41, [166, 168, 168, 198, 114, 0]]
[42, [136, 154, 154, 84, 84, 0]]
[43, [138, 140, 140, 84, 198, 0]]
[44, [124, 126, 126, 84, 168, 0]]
[45, [94, 112, 112, 84, 138, 0]]
[46, [96, 98, 98, 84, 108, 0]]
[47, [82, 84, 84, 84, 78, 0]]
[48, [52, 70, 70, 84, 48, 0]]
[49, [54, 56, 56, 84, 18, 0]]
[50, [52, 54, 54, 84, 0, 0]]
[51, [52, 70, 70, 84, 0, 0]]
[52, [84, 86, 86, 84, 0, 0]]
[53, [100, 102, 102, 84, 0, 0]]
[54, [100, 118, 118, 84, 0, 0]]
[55, [132, 134, 134, 84, 0, 0]]
[56, [148, 150, 150, 84, 0, 0]]
[57, [148, 166, 166, 84, 0, 0]]
[58, [180, 182, 182, 84, 0, 0]]
[59, [196, 198, 198, 189, 0, 0]]
[60, [196, 198, 198, 90, 144, 0]]
[61, [166, 168, 168, 135, 114, 0]]
[62, [136, 154, 154, 195, 84, 0]]
[63, [138, 140, 140, 96, 198, 0]]
[64, [124, 126, 126, 126, 168, 0]]
[65, [94, 112, 112, 126, 138, 0]]
[66, [96, 98, 98, 126, 108, 0]]
[67, [82, 84, 84, 126, 78, 0]]
[68, [52, 70, 70, 126, 48, 0]]
[69, [54, 56, 56, 126, 18, 0]]
[70, [52, 54, 54, 126, 0, 0]]
[71, [52, 70, 70, 126, 0, 0]]
[72, [84, 86, 86, 126, 0, 0]]
[73, [100, 102, 102, 126, 0, 0]]
[74, [100, 118, 118, 126, 0, 0]]
[75, [132, 134, 134, 126, 0, 0]]
[76, [148, 150, 150, 126, 0, 0]]
[77, [148, 166, 166, 126, 0, 0]]
[78, [180, 182, 182, 126, 0, 0]]
[79, [196, 198, 198, 186, 0, 0]]
[80, [196, 198, 198, 87, 144, 0]]
[81, [166, 168, 168, 132, 114, 0]]
[82, [136, 154, 154, 177, 84, 0]]
[83, [138, 140, 140, 93, 198, 0]]
[84, [124, 126, 126, 138, 168, 0]]
[85, [94, 112, 112, 168, 138, 0]]
[86, [96, 98, 98, 24, 108, 0]]
[87, [82, 84, 84, 24, 78, 0]]
[88, [52, 70, 70, 24, 192, 0]]
[89, [54, 56, 56, 24, 162, 0]]
[90, [40, 42, 42, 24, 132, 0]]
[91, [10, 28, 28, 24, 102, 0]]
[92, [12, 14, 14, 24, 72, 0]]
[93, [0, 2, 2, 24, 42, 2]]
[94, [0, 18, 18, 24, 12, 32]]
[95, [0, 2, 2, 24, 0, 12]]
[96, [4, 6, 6, 24, 0, 0]]
[97, [4, 22, 22, 24, 0, 0]]
[98, [36, 38, 38, 24, 0, 0]]
[99, [52, 54, 54, 84, 0, 0]]
[100, [52, 70, 70, 129, 0, 0]]
[101, [84, 86, 86, 174, 0, 0]]
[102, [100, 102, 102, 75, 144, 0]]
[103, [70, 88, 88, 135, 114, 0]]
[104, [72, 74, 74, 180, 84, 0]]
[105, [58, 60, 60, 66, 198, 0]]
[106, [28, 46, 46, 66, 168, 0]]
[107, [30, 32, 32, 66, 138, 0]]
[108, [16, 18, 18, 66, 108, 0]]
[109, [0, 18, 18, 66, 78, 14]]
[110, [0, 2, 2, 66, 48, 12]]
[111, [0, 2, 2, 66, 18, 26]]
[112, [0, 18, 18, 66, 0, 44]]
[113, [0, 2, 2, 66, 0, 12]]
[114, [4, 6, 6, 66, 0, 0]]
[115, [4, 22, 22, 66, 0, 0]]
[116, [36, 38, 38, 66, 0, 0]]
[117, [52, 54, 54, 66, 0, 0]]
[118, [52, 70, 70, 66, 0, 0]]
[119, [84, 86, 86, 126, 0, 0]]
[120, [100, 102, 102, 171, 0, 0]]
[121, [100, 118, 118, 72, 144, 0]]
[122, [102, 104, 104, 117, 114, 0]]
[123, [88, 90, 90, 177, 84, 0]]
[124, [58, 76, 76, 78, 198, 0]]
[125, [86, 88, 88, 108, 168, 26]]
[126, [102, 104, 104, 108, 138, 56]]
[127, [102, 120, 120, 108, 108, 86]]
[128, [128, 130, 130, 108, 78, 110]]
[129, [126, 128, 128, 108, 48, 122]]
[130, [110, 128, 128, 108, 18, 136]]
[131, [136, 138, 138, 108, 0, 148]]
[132, [150, 152, 152, 108, 0, 146]]
[133, [150, 168, 168, 108, 0, 146]]
[134, [182, 184, 184, 108, 0, 146]]
[135, [192, 192, 192, 108, 0, 140]]
[136, [184, 190, 190, 108, 0, 132]]
[137, [192, 194, 194, 108, 0, 128]]
[138, [192, 194, 194, 108, 0, 124]]
[139, [186, 188, 188, 168, 0, 114]]
[140, [196, 196, 196, 69, 144, 112]]
[141, [192, 194, 194, 114, 114, 138]]
[142, [188, 190, 190, 159, 84, 160]]
[143, [182, 184, 184, 75, 198, 176]]
[144, [182, 190, 190, 120, 168, 189]]
[145, [180, 180, 180, 150, 147, 180]]
[146, [166, 166, 166, 6, 138, 168]]
[147, [152, 156, 156, 6, 120, 172]]
[148, [150, 158, 158, 6, 90, 185]]
[149, [132, 132, 132, 6, 63, 155]]
[150, [116, 120, 120, 6, 195, 157]]
[151, [108, 116, 116, 6, 165, 167]]
[152, [104, 104, 104, 6, 135, 169]]
[153, [86, 90, 90, 6, 105, 169]]
[154, [72, 80, 80, 6, 75, 173]]
[155, [82, 82, 82, 6, 45, 183]]
[156, [52, 56, 56, 6, 21, 156]]
[157, [36, 44, 44, 6, 6, 158]]
[158, [24, 24, 24, 6, 0, 128]]
[159, [0, 4, 4, 66, 0, 92]]
[160, [0, 8, 8, 111, 0, 80]]
[161, [0, 0, 0, 156, 0, 56]]
[162, [0, 4, 4, 57, 144, 44]]
[163, [0, 8, 8, 117, 114, 62]]
[164, [0, 0, 0, 162, 84, 68]]
[165, [0, 4, 4, 48, 198, 86]]
[166, [0, 8, 8, 48, 168, 104]]
