SimulationV05.py[0, [0, 16, 16, 0, 0, 0]]
[1, [0, 32, 32, 0, 0, 0]]
[2, [48, 48, 48, 0, 0, 0]]
[3, [48, 64, 64, 0, 0, 0]]
[4, [48, 80, 80, 0, 0, 0]]
[5, [96, 96, 96, 0, 0, 0]]
[6, [96, 112, 112, 0, 0, 0]]
[7, [96, 128, 128, 0, 0, 0]]
[8, [144, 144, 144, 0, 0, 0]]
[9, [144, 160, 160, 0, 0, 0]]
[10, [144, 176, 176, 0, 0, 0]]
[11, [192, 192, 192, 0, 0, 0]]
[12, [192, 208, 208, 0, 0, 0]]
[13, [192, 224, 224, 0, 0, 0]]
[14, [240, 240, 240, 0, 0, 0]]
[15, [240, 256, 256, 0, 0, 0]]
[16, [240, 272, 272, 0, 0, 0]]
[17, [288, 288, 288, 0, 0, 0]]
[18, [288, 304, 304, 0, 0, 0]]
[19, [288, 320, 320, 330, 0, 0]]
[20, [336, 336, 336, 186, 144, 0]]
[21, [306, 322, 322, 42, 258, 0]]
[22, [276, 308, 308, 42, 228, 0]]
[23, [294, 294, 294, 42, 198, 0]]
[24, [264, 280, 280, 42, 168, 0]]
[25, [234, 266, 266, 42, 138, 0]]
[26, [252, 252, 252, 42, 108, 0]]
[27, [222, 238, 238, 42, 78, 0]]
[28, [192, 224, 224, 42, 48, 0]]
[29, [210, 210, 210, 42, 18, 0]]
[30, [192, 208, 208, 42, 0, 0]]
[31, [192, 224, 224, 42, 0, 0]]
[32, [240, 240, 240, 42, 0, 0]]
[33, [240, 256, 256, 42, 0, 0]]
[34, [240, 272, 272, 42, 0, 0]]
[35, [288, 288, 288, 42, 0, 0]]
[36, [288, 304, 304, 42, 0, 0]]
[37, [288, 320, 320, 42, 0, 0]]
[38, [336, 336, 336, 42, 0, 0]]
[39, [336, 352, 352, 357, 0, 0]]
[40, [336, 368, 368, 228, 144, 0]]
[41, [354, 354, 354, 84, 258, 0]]
[42, [324, 340, 340, 84, 228, 0]]
[43, [294, 326, 326, 84, 198, 0]]
[44, [312, 312, 312, 84, 168, 0]]
[45, [282, 298, 298, 84, 138, 0]]
[46, [252, 284, 284, 84, 108, 0]]
[47, [270, 270, 270, 84, 78, 0]]
[48, [240, 256, 256, 84, 48, 0]]
[49, [210, 242, 242, 84, 18, 0]]
[50, [240, 240, 240, 84, 0, 0]]
[51, [240, 256, 256, 84, 0, 0]]
[52, [240, 272, 272, 84, 0, 0]]
[53, [288, 288, 288, 84, 0, 0]]
[54, [288, 304, 304, 84, 0, 0]]
[55, [288, 320, 320, 84, 0, 0]]
[56, [336, 336, 336, 84, 0, 0]]
[57, [336, 352, 352, 84, 0, 0]]
[58, [336, 368, 368, 84, 0, 0]]
[59, [384, 384, 384, 354, 0, 0]]
[60, [384, 400, 400, 225, 144, 0]]
[61, [354, 386, 386, 81, 258, 0]]
[62, [372, 372, 372, 81, 228, 0]]
[63, [342, 358, 358, 81, 198, 0]]
[64, [312, 344, 344, 96, 168, 0]]
[65, [330, 330, 330, 96, 138, 0]]
[66, [300, 316, 316, 96, 108, 0]]
[67, [270, 302, 302, 96, 78, 0]]
[68, [288, 288, 288, 96, 48, 0]]
[69, [258, 274, 274, 96, 18, 0]]
[70, [240, 272, 272, 96, 0, 0]]
[71, [288, 288, 288, 96, 0, 0]]
[72, [288, 304, 304, 96, 0, 0]]
[73, [288, 320, 320, 96, 0, 0]]
[74, [336, 336, 336, 96, 0, 0]]
[75, [336, 352, 352, 111, 0, 0]]
[76, [336, 368, 368, 111, 0, 0]]
[77, [384, 384, 384, 111, 0, 0]]
[78, [384, 400, 400, 111, 0, 0]]
[79, [384, 416, 416, 366, 0, 0]]
[80, [432, 432, 432, 237, 144, 0]]
[81, [402, 418, 418, 93, 258, 0]]
[82, [372, 404, 404, 93, 228, 0]]
[83, [390, 390, 390, 93, 198, 0]]
[84, [360, 376, 376, 108, 168, 0]]
[85, [330, 362, 362, 108, 138, 0]]
[86, [348, 348, 348, 108, 108, 0]]
[87, [318, 334, 334, 108, 78, 0]]
[88, [288, 320, 320, 108, 48, 0]]
[89, [306, 306, 306, 108, 18, 0]]
[90, [288, 304, 304, 108, 0, 0]]
[91, [288, 320, 320, 123, 0, 0]]
[92, [336, 336, 336, 123, 0, 0]]
[93, [336, 352, 352, 123, 0, 0]]
[94, [336, 368, 368, 123, 0, 0]]
[95, [384, 384, 384, 138, 0, 0]]
[96, [384, 400, 400, 138, 0, 0]]
[97, [384, 416, 416, 138, 0, 0]]
[98, [432, 432, 432, 138, 0, 0]]
[99, [432, 448, 448, 363, 0, 0]]
[100, [432, 464, 464, 234, 144, 0]]
[101, [450, 450, 450, 90, 258, 0]]
[102, [420, 436, 436, 90, 228, 0]]
[103, [390, 422, 422, 105, 198, 0]]
[104, [408, 408, 408, 120, 168, 0]]
[105, [378, 394, 394, 120, 138, 0]]
[106, [348, 380, 380, 120, 108, 0]]
[107, [366, 366, 366, 120, 78, 0]]
[108, [336, 352, 352, 120, 48, 0]]
[109, [306, 338, 338, 120, 18, 0]]
[110, [336, 336, 336, 120, 0, 0]]
[111, [336, 352, 352, 135, 0, 0]]
[112, [336, 368, 368, 150, 0, 0]]
[113, [384, 384, 384, 6, 144, 0]]
[114, [354, 370, 370, 6, 114, 0]]
[115, [324, 356, 356, 21, 84, 0]]
[116, [342, 342, 342, 21, 54, 0]]
[117, [312, 328, 328, 21, 24, 0]]
[118, [288, 320, 320, 21, 0, 0]]
[119, [336, 336, 336, 261, 0, 0]]
[120, [336, 352, 352, 132, 144, 0]]
[121, [306, 338, 338, 132, 114, 0]]
[122, [328, 328, 328, 132, 84, 4]]
[123, [308, 324, 324, 147, 54, 14]]
[124, [284, 316, 316, 18, 168, 20]]
[125, [324, 324, 324, 18, 138, 42]]
[126, [324, 340, 340, 18, 108, 72]]
[127, [322, 354, 354, 18, 78, 100]]
[128, [358, 358, 358, 18, 48, 118]]
[129, [346, 362, 362, 18, 18, 136]]
[130, [334, 366, 366, 18, 0, 142]]
[131, [374, 374, 374, 33, 0, 134]]
[132, [366, 382, 382, 48, 0, 126]]
[133, [364, 396, 396, 48, 0, 124]]
[134, [408, 408, 408, 48, 0, 120]]
[135, [402, 418, 418, 48, 0, 114]]
[136, [398, 430, 430, 48, 0, 110]]
[137, [442, 442, 442, 48, 0, 106]]
[138, [434, 450, 450, 48, 0, 98]]
[139, [428, 460, 460, 273, 0, 92]]
[140, [466, 466, 466, 144, 144, 82]]
[141, [458, 474, 474, 0, 258, 104]]
[142, [442, 474, 474, 15, 228, 118]]
[143, [478, 478, 478, 30, 198, 136]]
[144, [464, 480, 480, 45, 168, 152]]
[145, [450, 482, 482, 45, 138, 168]]
[146, [476, 476, 476, 45, 108, 176]]
[147, [466, 482, 482, 45, 78, 196]]
[148, [458, 490, 490, 45, 48, 218]]
[149, [492, 492, 492, 45, 18, 234]]
[150, [466, 482, 482, 45, 0, 226]]
[151, [428, 460, 460, 60, 0, 188]]
[152, [452, 452, 452, 60, 0, 164]]
[153, [424, 440, 440, 60, 0, 136]]
[154, [398, 430, 430, 60, 0, 110]]
[155, [438, 438, 438, 60, 0, 102]]
[156, [424, 440, 440, 60, 0, 88]]
[157, [380, 412, 412, 60, 0, 44]]
[158, [384, 384, 384, 60, 0, 0]]
[159, [384, 400, 400, 285, 0, 0]]
[160, [384, 416, 416, 156, 144, 0]]
[161, [402, 402, 402, 12, 258, 0]]
