SimulationV03.py[0, [0, 16, 16, 0, 0, 0]]
[1, [0, 32, 32, 0, 0, 0]]
[2, [48, 48, 48, 0, 0, 0]]
[3, [48, 64, 64, 0, 0, 0]]
[4, [48, 80, 80, 0, 0, 0]]
[5, [96, 96, 96, 0, 0, 0]]
[6, [96, 112, 112, 0, 0, 0]]
[7, [96, 128, 128, 0, 0, 0]]
[8, [144, 144, 144, 0, 0, 0]]
[9, [144, 160, 160, 0, 0, 0]]
[10, [144, 176, 176, 0, 0, 0]]
[11, [192, 192, 192, 0, 0, 0]]
[12, [192, 208, 208, 0, 0, 0]]
[13, [192, 224, 224, 0, 0, 0]]
[14, [240, 240, 240, 0, 0, 0]]
[15, [240, 256, 256, 0, 0, 0]]
[16, [240, 272, 272, 0, 0, 0]]
[17, [288, 288, 288, 0, 0, 0]]
[18, [288, 304, 304, 0, 0, 0]]
[19, [288, 320, 320, 315, 0, 0]]
[20, [336, 336, 336, 171, 144, 0]]
[21, [304, 320, 320, 27, 255, 1]]
[22, [270, 302, 302, 27, 222, 0]]
[23, [286, 286, 286, 27, 189, 1]]
[24, [252, 268, 268, 27, 156, 0]]
[25, [220, 252, 252, 27, 123, 1]]
[26, [234, 234, 234, 27, 90, 0]]
[27, [202, 218, 218, 42, 57, 1]]
[28, [168, 200, 200, 42, 24, 0]]
[29, [192, 192, 192, 42, 0, 0]]
[30, [192, 208, 208, 42, 0, 0]]
[31, [192, 224, 224, 42, 0, 0]]
[32, [240, 240, 240, 42, 0, 0]]
[33, [240, 256, 256, 42, 0, 0]]
[34, [240, 272, 272, 42, 0, 0]]
[35, [288, 288, 288, 42, 0, 0]]
[36, [288, 304, 304, 42, 0, 0]]
[37, [288, 320, 320, 42, 0, 0]]
[38, [336, 336, 336, 42, 0, 0]]
[39, [336, 352, 352, 327, 0, 0]]
[40, [336, 368, 368, 183, 144, 0]]
[41, [352, 352, 352, 39, 255, 1]]
[42, [318, 334, 334, 39, 222, 0]]
[43, [286, 318, 318, 39, 189, 1]]
[44, [300, 300, 300, 54, 156, 0]]
[45, [268, 284, 284, 54, 123, 1]]
[46, [234, 266, 266, 54, 90, 0]]
[47, [250, 250, 250, 84, 57, 1]]
[48, [216, 232, 232, 84, 24, 0]]
[49, [192, 224, 224, 84, 0, 0]]
[50, [240, 240, 240, 84, 0, 0]]
[51, [240, 256, 256, 84, 0, 0]]
[52, [240, 272, 272, 84, 0, 0]]
[53, [288, 288, 288, 84, 0, 0]]
[54, [288, 304, 304, 84, 0, 0]]
[55, [288, 320, 320, 84, 0, 0]]
[56, [336, 336, 336, 84, 0, 0]]
[57, [336, 352, 352, 84, 0, 0]]
[58, [336, 368, 368, 84, 0, 0]]
[59, [384, 384, 384, 354, 0, 0]]
[60, [384, 400, 400, 210, 144, 0]]
[61, [352, 384, 384, 66, 255, 1]]
[62, [366, 366, 366, 66, 222, 0]]
[63, [334, 350, 350, 66, 189, 1]]
[64, [300, 332, 332, 81, 156, 0]]
[65, [316, 316, 316, 81, 123, 1]]
[66, [282, 298, 298, 96, 90, 0]]
[67, [250, 282, 282, 126, 57, 1]]
[68, [264, 264, 264, 126, 24, 0]]
[69, [240, 256, 256, 126, 0, 0]]
[70, [240, 272, 272, 126, 0, 0]]
[71, [288, 288, 288, 126, 0, 0]]
[72, [288, 304, 304, 126, 0, 0]]
[73, [288, 320, 320, 126, 0, 0]]
[74, [336, 336, 336, 126, 0, 0]]
[75, [336, 352, 352, 126, 0, 0]]
[76, [336, 368, 368, 126, 0, 0]]
[77, [384, 384, 384, 126, 0, 0]]
[78, [384, 400, 400, 126, 0, 0]]
[79, [384, 416, 416, 396, 0, 0]]
[80, [432, 432, 432, 252, 144, 0]]
[81, [400, 416, 416, 108, 255, 1]]
[82, [366, 398, 398, 108, 222, 0]]
[83, [382, 382, 382, 108, 189, 1]]
[84, [348, 364, 364, 123, 156, 0]]
[85, [316, 348, 348, 123, 123, 1]]
[86, [330, 330, 330, 138, 90, 0]]
[87, [298, 314, 314, 168, 57, 1]]
[88, [264, 296, 296, 24, 168, 0]]
[89, [280, 280, 280, 24, 135, 1]]
[90, [246, 262, 262, 24, 102, 0]]
[91, [214, 246, 246, 24, 69, 1]]
[92, [228, 228, 228, 24, 36, 0]]
[93, [196, 212, 212, 24, 3, 1]]
[94, [192, 224, 224, 24, 0, 0]]
[95, [240, 240, 240, 24, 0, 0]]
[96, [240, 256, 256, 24, 0, 0]]
[97, [240, 272, 272, 24, 0, 0]]
[98, [288, 288, 288, 24, 0, 0]]
[99, [288, 304, 304, 264, 0, 0]]
[100, [288, 320, 320, 135, 144, 0]]
[101, [304, 304, 304, 135, 111, 1]]
[102, [270, 286, 286, 135, 78, 0]]
[103, [238, 270, 270, 135, 45, 1]]
[104, [252, 252, 252, 150, 12, 0]]
[105, [240, 256, 256, 6, 144, 0]]
[106, [208, 240, 240, 21, 111, 1]]
[107, [222, 222, 222, 51, 78, 0]]
[108, [190, 206, 206, 51, 45, 1]]
[109, [156, 188, 188, 51, 12, 0]]
[110, [192, 192, 192, 51, 0, 0]]
[111, [192, 208, 208, 66, 0, 0]]
[112, [192, 224, 224, 66, 0, 0]]
[113, [240, 240, 240, 66, 0, 0]]
[114, [240, 256, 256, 66, 0, 0]]
[115, [240, 272, 272, 66, 0, 0]]
[116, [288, 288, 288, 66, 0, 0]]
[117, [288, 304, 304, 66, 0, 0]]
[118, [288, 320, 320, 66, 0, 0]]
[119, [336, 336, 336, 306, 0, 0]]
[120, [336, 352, 352, 177, 144, 0]]
[121, [304, 336, 336, 33, 255, 1]]
[122, [318, 318, 318, 33, 222, 0]]
[123, [286, 302, 302, 33, 189, 1]]
[124, [260, 292, 292, 48, 156, 8]]
[125, [308, 308, 308, 48, 123, 41]]
[126, [308, 324, 324, 63, 90, 74]]
[127, [308, 340, 340, 93, 57, 107]]
[128, [338, 338, 338, 93, 24, 122]]
[129, [318, 334, 334, 93, 0, 126]]
[130, [306, 338, 338, 93, 0, 114]]
[131, [340, 340, 340, 108, 0, 100]]
[132, [340, 356, 356, 108, 0, 100]]
[133, [336, 368, 368, 108, 0, 96]]
[134, [380, 380, 380, 108, 0, 92]]
[135, [376, 392, 392, 108, 0, 88]]
[136, [368, 400, 400, 108, 0, 80]]
[137, [410, 410, 410, 108, 0, 74]]
[138, [400, 416, 416, 108, 0, 64]]
[139, [396, 428, 428, 348, 0, 60]]
[140, [432, 432, 432, 219, 144, 48]]
[141, [422, 438, 438, 75, 255, 71]]
[142, [404, 436, 436, 75, 222, 86]]
[143, [430, 430, 430, 75, 189, 97]]
[144, [412, 428, 428, 90, 156, 112]]
[145, [382, 414, 414, 90, 123, 115]]
[146, [410, 410, 410, 105, 90, 128]]
[147, [386, 402, 402, 135, 57, 137]]
[148, [360, 392, 392, 135, 24, 144]]
[149, [368, 368, 368, 135, 0, 128]]
[150, [340, 356, 356, 135, 0, 100]]
[151, [310, 342, 342, 150, 0, 70]]
[152, [324, 324, 324, 6, 144, 36]]
[153, [304, 320, 320, 6, 111, 49]]
[154, [280, 312, 312, 6, 78, 58]]
[155, [302, 302, 302, 6, 45, 65]]
[156, [262, 278, 278, 6, 12, 58]]
[157, [218, 250, 250, 6, 0, 26]]
[158, [240, 240, 240, 6, 0, 0]]
[159, [240, 256, 256, 246, 0, 0]]
[160, [240, 272, 272, 117, 144, 0]]
[161, [256, 256, 256, 117, 111, 1]]
